id,match,name,score,type,type_id,input_value
Q66505125,True,immune system,50.0,[],,Immune system
Q170145,True,zygote,50.0,[],,Zygote
Q11498334,True,Zygote,50.0,[],,Zygote
Q66569968,True,zygote,50.0,[],,Zygote
Q6140833,True,Kidney,50.0,[],,Kidney
Q25615,True,connective tissue,50.0,[],,Connective tissue
Q11893325,True,Connective tissue,50.0,[],,Connective tissue
Q7873,True,blood,50.0,[],,Blood
Q494268,True,blood,50.0,[],,Blood
Q1409015,True,heart,50.0,[],,Heart
Q5691852,True,Heart,50.0,[],,Heart
Q6140977,True,Liver,50.0,[],,Liver
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q1155702,True,skin,50.0,[],,Skin
Q97671426,True,Skin,50.0,[],,Skin
Q7886,True,lung,50.0,[],,Lungs
Q85782674,True,Lungs,50.0,[],,Lungs
Q67208213,True,Thymus,50.0,[],,Thymus
Q9355635,True,Thyroid,50.0,[],,Thyroid
Q41301,True,epithelium,50.0,[],,Epithelium
Q96377210,True,Embryo,50.0,[],,Embryo
Q189961,True,mammary gland,50.0,[],,Mammary gland
Q1212935,True,placenta,100.0,organ,Q712378,Placenta
Q65426278,True,Olfactory system,50.0,[],,Olfactory system
Q66502822,True,olfactory system,50.0,[],,Olfactory system
Q1059,True,immune system,100.0,organ system,Q188193,Immune system
Q170145,True,zygote,50.0,[],,Zygote
Q11498334,True,Zygote,50.0,[],,Zygote
Q66569968,True,zygote,50.0,[],,Zygote
Q265868,True,bone,100.0,anatomical structure,Q4936952,Bone
Q9377,True,kidney,100.0,anatomical structure,Q4936952,Kidney
Q66566650,True,vasculature,100.0,anatomical structure,Q4936952,Vasculature
Q25615,True,connective tissue,50.0,[],,Connective tissue
Q11893325,True,Connective tissue,50.0,[],,Connective tissue
Q1072,True,heart,100.0,anatomical structure,Q4936952,Heart
Q9368,True,liver,100.0,anatomical structure,Q4936952,Liver
Q9618,True,pancreas,100.0,gland,Q9647,Pancreas
Q11829360,True,gastrointestinal tract,100.0,anatomical structure,Q4936952,GI tract
Q1074,True,skin,100.0,anatomical structure,Q4936952,Skin
Q7364,True,eye,100.0,anatomical structure,Q4936952,Eye
Q163987,True,thymus,100.0,anatomical structure,Q4936952,Thymus
Q9382,True,urinary bladder,100.0,anatomical structure,Q4936952,Urinary bladder
Q16399,True,thyroid gland,100.0,anatomical structure,Q4936952,Thyroid
Q189961,True,mammary gland,50.0,[],,Mammary gland
Q1120914,True,placenta,100.0,plant structure,Q20011319,Placenta
Q1212935,True,placenta,100.0,organ,Q712378,Placenta
Q1054094,True,olfactory system,100.0,organ system,Q188193,Olfactory system
Q712294,True,adrenal gland,100.0,anatomical structure,Q4936952,Adrenal glands
